No,Date,Day,Curator,Source,G,D,T,Problem Statement,Hint 1,Hint 2,Hint 3,Notes,Solved,Solved by,In pdf?,
205,16 Oct 2019,Wed,Will,"2015 Pan-African MO, P3 of 6",N,5,,"Let $a{1}, a{1}, \dots, a{11}$ be integers. Prove that there are numbers $b{1}, b{2}, \dots, b{11},$ each $b{i}$ equal to $-1, 0, 1,$ but not all being $0$ such that the number $$N = a{1}b{1} + a{2}b{2} \dots + a{11}b_{11}$$ is divisible by $2015.$",,,,,,,,
199,10 Oct 2019,Thu,Tony,2014 IMOSL G1,G,5,,"The points \(P\) and \(Q\) are chosen on the side \(BC\) of an acute-angled triangle \(ABC\) so that \(\angle PAB = \angle ACB\) and =\(\angle QAC =\angle CBA\). The points \(M\) and \(N\) are taken on the rays \(AP\) and \(AQ\), respectively, so that \(AP = PM\) and \(AQ = QN\). Prove that the lines \(BM\) and \(CN\) intersect on the circumcircle of the triangle \(ABC\).",,,,,Yes,Tony,No,
179,20 Sep 2019,Fri,Sharky,Brazilian MO 2013 Q2 ,N,5,,"Ankan and Bankan play the following game:

Given a fixed finite set of positive integers $\mathcal{A}$ known by both players, Ankan picks a number $a \in \mathcal{A}$ but doesn't reveal it to Bankan. Bankan then picks an arbitrary positive integer $b$ (not necessarily in $\mathcal{A}$). Ankan now reveals the number of divisors of the number $a \times b$. 

Show that Bankan can choose $b$ in such a way that he can determine what $a$ is.",,,,,,,,
173,14 Sep 2019,Sat,Will,2007 Hungary-Israel MO Q6 of 6,A,5,PO,"Let $t \geq 3$ be a real number and assume the polynomial $P(x)$ satisfies $$\left | P(k) - t^k \right | < 1$$ for $k = 0, 1, 2, \dots, n.$ Prove that the degree of $P$ is at least $n.$",,,,,,,,
172,13 Sep 2019,Fri,Sharky,"2019 AMO, Day 2 Q8",N,5,,Let $n = 16^{3^r} - 4^{3^r} + 1$ for some positive integer $r$. Show that $2^{n-1}-1$ is divisible by $n$.,,,,,,,,
170,11 Sep 2019,Wed,nya10,"USSR Olympiad 1990, 11th Grade, Problem 7 of 8",A,5,PO,"The following equation with erased coefficients is written on a blackboard: 
\[x^3 + \cdots x^2 + \cdots x + \cdots = 0\]

Two players are playing a game. In one move the first player chooses a number and the second player puts it instead of dots into one of the vacant places. After three moves the game is over. (Note that the first player chooses a number in each of the three moves.) Is it possible for the first player to choose three numbers that will secure three distinct integer roots for the equation, no matter how the second player plays? ",,,,,Yes,nya10,,
165,6 Sep 2019,Fri,Sharky,2017 IMOSL A2,A,5,,"Let $q$ be a real number. Gugu has a napkin with ten distinct real numbers written on it, and he writes the following three lines of real numbers on the blackboard: \begin{enumerate} \item In the first line, Gugu writes down every number of the form $a-b$, where $a$ and $b$ are two (not necessarily distinct) numbers on his napkin. \item In the second line, Gugu writes down every number of the form $qab$, where $a$ and $b$ are two (not necessarily distinct) numbers from the first line. \item In the third line, Gugu writes down every number of the form $a^2+b^2-c^2-d^2$, where $a, b, c, d$ are four (not necessarily distinct) numbers from the first line. \end{enumerate}Determine all values of $q$ such that, regardless of the numbers on Gugu's napkin, every number in the second line is also a number in the third line.",,,,,Yes,tanyoshi,,
164,5 Sep 2019,Thu,Tony,"2016 APMO, P2 of 5",N,5,,"A positive integer is called \emph{fancy} if it can be expressed in the form \[2^{a_1} + 2^{a_2} + \cdots + 2^{a_{100}},\] where \(a_1 , a_2 , \dots, a_{100}\) are non-negative integers that are not necessarily distinct.

\makebox[1.5em]{} Find the smallest positive integer \(n\) such that no multiple of \(n\) is a fancy number.",,,,,,,,
163,4 Sep 2019,Wed,nya10,"1990 USAMO, P2 of 6",G,5,,"Let ${\cal C}_1$ and ${\cal C}_2$ be concentric circles, with ${\cal C}_2$ in the interior of ${\cal C}_1$. From a point $A$ on ${\cal C}_1$ one draws the tangent $AB$ to ${\cal C}_2$ ($B\in {\cal C}_2$). Let $C$ be the second point of intersection of $AB$ and ${\cal C}_1$, and let $D$ be the midpoint of $AB$. A line passing through $A$ intersects ${\cal C}_2$ at $E$ and $F$ in such a way that the perpendicular bisectors of $DE$ and $CF$ intersect at a point $M$ on $AB$. Find, with proof, the ratio $AM/MC$.",,,,,Yes,nya10,,
157,29 Aug 2019,Thu,Tony,"IGO 2017 Senior, P2 of 5",CG,5,,"We have six pairwise non-intersecting circles that the radius of each is at least one. Prove that the radius of any circle intersecting all the six circles, is at least one.",,,,,Yes,"Tony, Tanyoshi",No,
155,27 Aug 2019,Tue,brainysmurfs,2019 New Zealand MO,A,5,IN,"Suppose that $x_1, x_2, x_3, \dots x_n$ are real numbers between 0 and 1 with sum $s$. Prove that \[\sum_{i=1}^n \frac{x_i}{s+1-x_i} + \prod_{i=1}^n (1-x_i) \leq 1\]",,,,,,,,
150,22 Aug 2019,Thu,Tony,2012 IMOSL C1,C,5,AL,"Several positive integers are written in a row. Iteratively, Alice chooses two adjacent numbers \(x\) and \(y\) such that \(x > y\) and \(x\) is to the left of \(y\), and replaces the pair \((x,y)\) by either \((y + 1,x)\) or \((x − 1,x)\). Prove that she can perform only finitely many such iterations.",,,,,Yes,"Tony, Tanyoshi",,
126,29 Jul 2019,Mon,tan,"2018 APMO, P4 of 5  ",G,5,,"Let $ABC$ be an equilateral triangle. From the vertex $A$ we draw a ray towards the interior of the triangle such that the ray reaches one of the sides of the triangle. When the ray reaches a side, it then bounces off following the law of reflection, that is, if it arrives with a directed angle $\alpha$, it leaves with a directed angle $180^{\circ}-\alpha$. After $n$ bounces, the ray returns to $A$ without ever landing on any of the other two vertices. Find all possible values of $n$.",,,,,Yes,Tanyoshi,No,
125,28 Jul 2019,Sun,tan,"2018 USATST, P2 of 6",A,5,FE,"Find all functions $f: \mathbb{Z}^2 \to [0, 1]$ such that for any integers $x$ and $y$, $$2f(x, y) = f(x - 1, y) + f(x, y - 1)$$",,,,,Yes,Tanyoshi,No,
119,22 Jul 2019,Mon,Tony,"2019 China National Olympaid, P1 of 6",A,5,IN,"Let \(a,b,c,d,e \geq -1\) and \(a+b+c+d+e=5.\) Find the maximum and minimum value of \(S=(a+b)(b+c)(c+d)(d+e)(e+a).\)",,,,,Yes,Tanyoshi,No,
117,20 Jul 2019,Sat,Tony,"2003-4 Polish MO (55th), Round 3, P1 of 6",G,5,,"A point \(D\) is taken on the side \(AB\) of a triangle \(ABC\). Two circles passing through \(D\) and touching \(AC\) and \(BC\) at \(A\) and \(B\) respectively intersect again at point \(E\). Let \(F\) be the point symmetric to \(C\) with respect to the perpendicular bisector of \(AB\). Prove that the points D\(,E\), and \(F\) lie on a line.",,,,,Yes,Tanyoshi,No,
110,13 Jul 2019,Sat,Daniel,"2018 Mathematical Ashes, P2",A,5,FE,"Let \(\mathbb{N}_0\) denote the set of non-negative integers. Find all functions \(f:\mathbb{N}_0\to\mathbb{N}_0\) such that
\[f^{f(m)}(n) = n + 2f(m)\]
for all \(m,n \in \mathbb{N}_0\) with \(m \leq n\).",,,,,Yes,"Daniel, Tanyoshi",No,
108,11 Jul 2019,Thu,Sharky,"2018 USA TSTST, Q5",G,5,,"Let \(ABC\) be an acute triangle with circumcircle \(\omega\), and let \(H\) be the foot of the altitude from \(A\) to \(\overline{BC}\). Let \(P\) and \(Q\) be the points on \(\omega\) with \(PA = PH\) and \(QA = QH\). The tangent to \(\omega\) at \(P\) intersects lines \(AC\) and \(AB\) at \(E_1\) and \(F_1\) respectively; the tangent to \(\omega\) at \(Q\) intersects lines \(AC\) and \(AB\) at \(E_2\) and \(F_2\) respectively. Show that the circumcircles of \(\triangle AE_1F_1\) and \(\triangle AE_2F_2\) are congruent, and the line through their centres is parallel to the tangent to \(\omega\) at \(A\).",,,,,Yes,Tanyoshi,No,
105,8 Jul 2019,Mon,Sharky,"2006 Indian MO, Q5",A,5,Ineq.,"Let \(ABC\) be a triangle with sides \(a, b, c\), circumradius \(R\), and inradius \(r\). Prove that
\[\frac{R}{2r} \geq \left ( \frac{64a^2b^2c^2}{(4a^2-(b-c)^2)(4b^2-(c-a)^2)(4c^2-(a-b)^2)} \right )^2.\]",,,,,Yes,Tanyoshi,No,
65,29 May 2019,Wed,brainysmurfs,1995 IMO Q2 of 6,A,5,,"Let $a$, $b$, $c$ be positive real numbers such that $abc=1$. Prove that \[\frac{1}{a^3(b+c)} + \frac{1}{b^3(c+a)} + \frac{1}{c^3(a+b)} \geq \frac{3}{2}.\]",,,,,,,,
49,13 May 2019,Mon,Daniel,"2015 IMO Shortlist, C1",C,5,,"In Lineland there are \(n \geq 1\) towns, arranged along a road running from left to right. Each town has a left bulldozer (put to the left of the town and facing left) and a right bulldozer (put to the right of the town and facing right). The sizes of the \(2n\) bulldozers are distinct. Every time when a right and a left bulldozer confront each other, the larger bulldozer pushes the smaller one off the road. On the other hand, the bulldozers are quite unprotected at their rears; so, if a bulldozer reaches the rear-end of another one, the first one pushes the second one off the road, regardless of their sizes.

\quad Let \(A\) and \(B\) be two towns, with \(B\) being to the right of \(A\). We say that town \(A\) can sweep town \(B\) away if the right bulldozer of \(A\) can move over to \(B\) pushing off all bulldozers it meets. Similarly, \(B\) can sweep \(A\) away if the left bulldozer of \(B\) can move to \(A\) pushing off all bulldozers of all towns on its way.

\quad Prove that there is exactly one town which cannot be swept away by any other one.",,,,,No,,,
40,4 May 2019,Sat,Daniel,"2002 IMO (43rd), Q4",N,5,,"The positive divisors of the integer $n > 1$ are  $d_1 < d_2 < \dots < d_k$, so that $d_1 = 1, d_k = n$. Let $d = d_1d_2 + d_2d3 + \dots + d{k-1}d_k$. Show that $d < n^2$ and find all $n$ for which $d$ divides $n^2$.",,,,,Yes,Daniel,,
36,30 Apr 2019,Tue,Daniel,"1997 Balkan MO (14th), Q4",A,5,FE,"Determine all functions $f : \mathbb{R} \to \mathbb{R}$ that satisfies $f(xf(x) + f(y)) = (f(x))^2 + y$ for all $x,y \in \mathbb{R}$.",,,,,Yes,"Daniel, Jazza, etc.",Yes,
34,28 Apr 2019,Sun,Daniel,"2013 Australian TST, Q2",G,5,,"Let $ABC$ be a triangle with orthocentre $H$. Let $D$ be the point such that $AHCD$ is a parallelogram. Let $M$ be the midpoint of $BC$, and the perpendicular from $M$ to $AB$ meet it at $E$. Let the line parallel to $BD$ through $A$ intersect $ME$ at $G$. Suppose $F$ is the midpoint of $ME.$\
Show that $A, M, C$ and $F$ are concyclic if, and only if, $BF$ bisects $CG$.",,,,,No,,,
32,26 Apr 2019,Fri,Daniel,"2008 BMO2, Q3",C,5,,"Adrian has drawn a circle in the $xy-$plane whose radius is a positive integer at most 2008. The origin lies somewhere inside the circle. You are allowed to ask him questions of the form ""Is the point $(x,y)$ inside your circle?"" After each question he will answer truthfully ""yes"" or ""no"". Show that it is always possible to deduce the radius of the circle after at most sixty questions. [Note: Any point which lies exactly on the circle may be considered to lie inside the circle.]",,,,,No,,,
25,19 Apr 2019,Fri,Tony,"1993 IMO (34th), Q1",A,5,PO,"Let $n > 1$ be an integer and let $f(x) = x^n + 5x^{n−1} + 3$. Prove that there do not exist polynomials $g(x),h(x)$, each having integer coefficients and degree at least one, such that $f(x) = g(x)h(x)$.",,,,,No,,,
20,14 Apr 2019,Sun,Tony,"2017 IMO Shortlist, C2",C,5,,"Let $n$ be a positive integer. Define a \emph{chameleon} to be any sequence of $3n$ letters, with exactly $n$ occurrences of each of the letters $a$, $b$, and $c$. Define a \emph{swap} to be the transposition of two adjacent letters in a chameleon. Prove that for any chameleon $X$, there exists a chameleon $Y$ such that $X$ cannot be changed to $Y$ using fewer than $3n^2/2$ swaps.",,,,,No,,,
18,12 Apr 2019,Fri,Tony,"2015/16 BMO1, Q6",N,5,,A positive integer is called \emph{charming} if it is equal to 2 or is of the form $3^i5^j$ where $i$ and $j$ are non-negative integers. Prove that every positive integer can be written as a sum of different charming integers.,,,,,Yes,Daniel,,
13,7 Apr 2019,Sun,Tony,"2018 EGMO, Q2",N,5,,"Consider the set [A = \left{1 + \frac 1k : k = 1, 2, 3, \dots \right}.] \begin{enumerate} \item Prove that every integer $x ≥ 2$ can be written as the product of one or more elements of $A$, which are not necessarily different. \item For every integer $x ≥ 2$, let $f(x)$ denote the minimum integer such that $x$ can be written as the product of $f(x)$ elements of $A$, which are not necessarily different. \noindent Prove that there exist infinitely many pairs $(x, y)$ of integers with $x ≥ 2, y ≥ 2$, and [f(xy) < f(x) + f(y).] (Pairs $(x_1, y_1)$ and $(x_2, y_2)$ are different if $x_1 \neq x_2$ or $y_1 \neq y_2$.) \end{enumerate}",,,,,Yes,Daniel,,
12,6 Apr 2019,Sat,Daniel,"2013 BMO2, Q4",NG,5,,"Suppose that $ABCD$ is a square and that $P$ is a point which is on the circle inscribed in the square. Determine whether or not it is possible that $PA, PB, PC, PD$ and $AB$ are all integers.",,,,,Yes,Daniel,Yes,
9,3 Apr 2019,Wed,Tony,"2017 Canadian MO, Q2",A,5,,"Define a function $f(n)$ from the positive integers to the positive integers such that $f(f(n))$ is the number of positive integer divisors of $n$. Prove that if $p$ is prime, then $f(p)$ is prime.",,,,,Yes,"Daniel, Jazza(anon)",Yes,
5,30 Mar 2019,Sat,Tony,"2005 IMO, Q4",N,5,,"Determine all positive integers relatively prime to all the terms of the infinite sequence \[a_n=2^n+3^n+6^n -1,\, n\geq 1.\]",,,,,Yes,,Yes,
2,27 Mar 2019,Wed,Tony,"2017 IMO Shortlist, C1",C,5,,A rectangle $R$ with odd integer side lengths is divided into small rectangles with integer side lengths. Prove that there is at least one among the small rectangles whose distances from the four sides of $R$ are either all odd or all even.,,,,,Yes,,Yes,
1369,23 Dec 2022,Fri,Joe,"2006 IMOSL, N3",N,6,,"We define a sequence $ \left(a_{1},a_{2},a_{3},\ldots \right)$ by
\[ a_{n} = \frac {1}{n}\left(\left\lfloor\frac {n}{1}\right\rfloor + \left\lfloor\frac {n}{2}\right\rfloor + \cdots + \left\lfloor\frac {n}{n}\right\rfloor\right), \] where $\lfloor x\rfloor$ denotes the integer part of $x$.

\begin{enumerate}[a)]
\item Prove that $a_{n+1}>a_n$ infinitely often.
\item Prove that $a_{n+1}<a_n$ infinitely often.
\end{enumerate}",,,,,,,,
1354,8 Dec 2022,Thu,Frog,"1986 IMO, P5 of 6",A,6,,"Find all functions $f$, defined on the non-negative real numbers and taking non-negative real values, such that: \begin{enumerate} \item $f(xf(y))f(y) = f(x+y)$ for all $x,y\ge 0$, \item $f(2) = 0$, \item $f(x) \neq 0$ for $0\le x < 2$. \end{enumerate}",,,,,,,,
1347,1 Dec 2022,Thu,Frog,"2022 Benelux MO, P2 of 4",C,6,,"Let $n$ be a positive integer. There are $n$ ants walking along a line at constant nonzero speeds. Different ants need not walk at the same speed or walk in the same direction. Whenever two or more ants collide, all the ants involved in this collision instantly change directions. (Different ants need not be moving in opposite directions when they collide, since a faster ant may catch up with a slower one that is moving in the same direction.) The ants keep walking indefinitely.\\ Assuming that the total number of collisions is finite, determine the largest possible number of collisions in terms of $n$.",,,,,,,,
1333,17 Nov 2022,Thu,Frog,"2013 IMOSL, A2",A,6,IN?,"Prove that for any set of $2000$ distinct real numbers there exist two pairs $a>b$ and $c>d$ with $a\neq c$ or $b\neq d$, such that $$\left|\frac{a-b}{c-d} - 1 \right| < \frac{1}{100000}.$$",,,,,,,,
1326,10 Nov 2022,Thu,Frog,2022 Dutch TST day 1 P3 of 4,G,6,,"Let $H,O$ be the orthocenter and circumcenter respectively of triangle $ABC$. Let $K$ be the circumcenter of triangle $AHO$. Show that the reflection of $K$ in line $OH$ is on $BC$.",,,,,,,,
1307,22 Oct 2022,Sat,omri,"2004 IMC, Day 1 P2 of 6",A,6,PO,Let $P(x)=x^2-1$. How many distinct real solutions does the following equation have: \[\underbrace{P(P(\cdots (P}_{2004}(x))\cdots ))=0\ ?\],,,,,,,,
1298,13 Oct 2022,Thu,Tony,"1994 IMOSL, C3",CN,6,,"Peter has three accounts in a bank, each with an integral number of dollars.  He is only allowed to transfer money from one account to another so that the amount of money in the latter is doubled.  Prove that Peter can always transfer all his money into two accounts.  Can Peter always transfer all his money into one account?",,,,,,,,
1291,6 Oct 2022,Thu,Tony,"2021 NZMO2, P4 of 5",G,6,,Let \(AB\) be a chord of circle \(\Gamma\).  Let \(O\) be the centre of a circle which is tangent to \(AB\) at \(C\) and internally tangent to \(\Gamma\) at \(P\).  Point \(C\) lies between \(A\) and \(B\).  Let the circumcircle of triangle \(POC\) intersect \(\Gamma\) at distinct points \(P\) and \(Q\).  Prove that \(\angle AQP = \angle CQB\).,,,,,,,,
1285,30 Sep 2022,Fri,Joe,"2022 IMO, P4 of 6",G,6,,"Let $ABCDE$ be a convex pentagon such that $BC=DE$. Assume that there is a point $T$ inside $ABCDE$ with $TB=TD,TC=TE$ and $\angle ABT = \angle TEA$. Let line $AB$ intersect lines $CD$ and $CT$ at points $P$ and $Q$, respectively. Assume that the points $P,B,A,Q$ occur on their line in that order. Let line $AE$ intersect $CD$ and $DT$ at points $R$ and $S$, respectively. Assume that the points $R,E,A,S$ occur on their line in that order. Prove that the points $P,S,Q,R$ lie on a circle.",,,,,,,,
1278,23 Sep 2022,Fri,Joe,,CG,6,GR,"Tony Wang's arch-nemesis, Bony Wang, has laid out some bowls on the floor and made some really long noodles which stretch between different bowls. He places these noodles in the bowls so that each noodle has its ends in different bowls. In an attempt to avoid dying, Bony has been careful not to make it appear that any two noodles cross if you look at this masterpiece from above. Bony challenges Tony to fill every bowl with Chinese Noodle Soup in such a way that no two bowls which share one of Bony's noodles are filled with the same flavour of Chinese Noodle Soup. However, Tony only knows how to make five different flavours of Chinese Noodle Soup (and no mixing is allowed)! Show that Tony can still manage this task.",,,,,,,,
1277,22 Sep 2022,Thu,Tony,"2001 USAMO, P4 of 6",G,6,GI,"Let $P$ be a point in the plane of triangle $ABC$ such that the segments $PA$, $PB$, and $PC$ are the sides of an obtuse triangle. Assume that in this triangle the obtuse angle opposes the side congruent to $PA$. Prove that $\angle BAC$ is acute. ",,,,,,,,
1271,16 Sep 2022,Fri,Joe,"2022 IMO, P1 of 6",C,6,,"The Bank of Oslo issues two types of coin: aluminum (denoted A) and bronze (denoted B). Marianne has $n$ aluminum coins and $n$ bronze coins arranged in a row in some arbitrary initial order. A chain is any subsequence of consecutive coins of the same type. Given a fixed positive integer $k \leq 2n$, Gilberty repeatdly performs the following operation: he identifies the longest chain containing the $k^{th}$ coin from the left and moves all coins in that chain to the left end of the row. For example, if $n=4$ and $k=4$, the process starting from the ordering $AABBBABA$ would be $AABBBABA \to BBBAAABA \to AAABBBBA \to BBBBAAAA \to ...$

Find all pairs $(n,k)$ with $1 \leq k \leq 2n$ such that for every initial ordering, at some moment during the process, the leftmost $n$ coins will all be of the same type.",,,,,,,,
1243,19 Aug 2022,Fri,Joe,"2017 Canadian MO, P4 of 5",G,6,,Let $ABCD$ be a parallelogram. Points $P$ and $Q$ lie inside $ABCD$ such that $\bigtriangleup ABP$ and $\bigtriangleup{BCQ}$ are equilateral. Prove that the intersection of the line through $P$ perpendicular to $PD$ and the line through $Q$ perpendicular to $DQ$ lies on the altitude from $B$ in $\bigtriangleup{ABC}$.,,,,,,,,
1242,18 Aug 2022,Thu,Joe,"2017 Balkan MO, P3 of 4",AN,6,FE,"Let $\mathbb{N}$ denote the set of positive integers. Find all functions $f:\mathbb{N}\longrightarrow\mathbb{N}$ such that
\[n+f(m)\mid f(n)+nf(m)\]for all $m,n\in \mathbb{N}$.",,,,,,,,
1236,12 Aug 2022,Fri,Joe,"2020 Francophone Mathematical Olympiad, Seniors P1 of 4",G,6,,"Let $ABC$ be an acute triangle with $AC>AB$, Let $DEF$ be the intouch triangle with $D \in (BC)$, $E \in (AC)$, $F \in (AB)$, let $G$ be the intersection of the perpendicular from $D$ to $EF$ with $AB$ and $X=(ABC)\cap (AEF)$.

Prove that $B$, $D$, $G$ and $X$ are concyclic.",,,,,,,,
1228,4 Aug 2022,Thu,Phoenix,2000 Putnam,A,6,,"Let $f(x)$ be a polynomial with integer coefficients. Define a sequence $a_0 , a_1, \cdots$ of integers such that $a_0 = 0$ and $a_{n+1} = f(a_n)$ for all $n \geq 0$. Prove that if there exists a positive integer $m$ for which $a_m = 0$ then either $a_1 = 0$ or $a_2 = 0$.",,,,,,,,
1227,3 Aug 2022,Wed,Angry Any,"2019 IMOSCL, C2",C,6,,"You are given a set of $n$ blocks, each weighing at least $1$; their total weight is $2n$. Prove that for every real number $r$ with $0 \leq r \leq 2n-2$ you can choose a subset of the blocks whose total weight is at least $r$ but at most $r+2$.",,,,,,,,
1215,22 Jul 2022,Fri,Joe,"2015 RMM, P4 of 6",G,6,,"Let $ABC$ be a triangle, and let $D$ be the point where the incircle meets side $BC$. Let $J_b$ and $J_c$ be the incentres of the triangles $ABD$ and $ACD$, respectively. Prove that the circumcentre of the triangle $AJ_bJ_c$ lies on the angle bisector of $\angle BAC$.",,,,,,,,
1209,16 Jul 2022,Sat,omri,"2022 IMO, P2 of 6",A,6,FE,"Let $\bR^+$ denote the set of positive real numbers. Find all functions $f:\bR^+\to \bR^+$ such that for each $x\in \bR^+$, there exists exactly one $y\in \bR^+$ for which \[xf(y) +yf(x) \leq 2\]",,,,,,,,
1180,17 Jun 2022,Fri,Joe,"1987 IMO, P2 of 6",G,6,,"In an acute-angled triangle $ABC$ the interior bisector of angle $A$ meets $BC$ at $L$ and meets the circumcircle of $ABC$ again at $N$. From $L$ perpendiculars are drawn to $AB$ and $AC$, with feet $K$ and $M$ respectively. Prove that the quadrilateral $AKNM$ and the triangle $ABC$ have equal areas.",,,,,,,,
1173,10 Jun 2022,Fri,Joe,"2010 IMO, P4 of 6",G,6,,"Let $P$ be a point interior to triangle $ABC$ (with $CA \neq CB$). The lines $AP$, $BP$ and $CP$ meet again its circumcircle $\Gamma$ at $K$, $L$, respectively $M$. The tangent line at $C$ to $\Gamma$ meets the line $AB$ at $S$. Show that from $SC = SP$ follows $MK = ML$.",,,,,,,,
1172,9 Jun 2022,Thu,665057968194060291,"2021 Sharygin Geometry Olympiad, Final Round, Day 1, 9 Form, P4 of 8",CG,6,,"Define the \emph{distance} between two triangles to be the closest distance between two vertices, one from each triangle. Is it possible to draw five triangles in the plane such that for any two of them, their distance equals the sum of their circumradii?",,,,,,,,
1165,2 Jun 2022,Thu,Joe,"2011 IMO, P4 of 6",C,6,,"Let $n > 0$ be an integer. We are given a balance and $n$ weights of weight $2^0, 2^1, \cdots, 2^{n-1}$. We are to place each of the $n$ weights on the balance, one after another, in such a way that the right pan is never heavier than the left pan. At each step we choose one of the weights that has not yet been placed on the balance, and place it on either the left pan or the right pan, until all of the weights have been placed.
Determine the number of ways in which this can be done.",,,,,,,,
1159,27 May 2022,Fri,Joe,"2002 IMO, P2 of 6",G,6,,"The circle $S$ has centre $O$, and $BC$ is a diameter of $S$. Let $A$ be a point of $S$ such that $\angle AOB<120{{}^\circ}$. Let $D$ be the midpoint of the arc $AB$ which does not contain $C$. The line through $O$ parallel to $DA$ meets the line $AC$ at $I$. The perpendicular bisector of $OA$ meets $S$ at $E$ and at $F$. Prove that $I$ is the incentre of the triangle $CEF.$",,,,,,,,
1153,21 May 2022,Sat,exy,🆎#8100 (<@518664855050518548>),G,6,,"Let $ABC$ be a triangle and let $X$ and $Y$ be points on rays $AB$ and $AC$ respectively, such that $AX = AY = 2BC$. Let $M$ be the midpoint of $XY$. Prove that if $M$ is the $A$-excentre of $ABC$, then $MX$ equals either $MB$ or $MC$.",,,,,,,,
1152,20 May 2022,Fri,Joe,"2015 EGMO, P5 of 6",C,6,,"Let $m$, $n$ be positive integers with $m > 1$. Anastasia partitions the integers $1, 2, \dots , 2m$ into $m$ pairs. Boris then chooses one integer from each pair and finds the sum of these chosen integers.
Prove that Anastasia can select the pairs so that Boris cannot make his sum equal to $n$.",,,,https://www.egmo.org/egmos/egmo4/paper-day2-English.pdf,,,,
1144,12 May 2022,Thu,Joe,"2018 RMM, P1 of 6",G,6,,Let $ABCD$ be a cyclic quadrilateral an let $P$ be a point on the side $AB.$ The diagonals $AC$ meets the segments $DP$ at $Q.$ The line through $P$ parallel to $CD$ mmets the extension of the side $CB$ beyond $B$ at $K.$ The line through $Q$ parallel to $BD$ meets the extension of the side $CB$ beyond $B$ at $L.$ Prove that the circumcircles of the triangles $BKP$ and $CLQ$ are tangent.,,,,,,,,
1143,11 May 2022,Wed,Angry Any,"2008 IMO, P4 of 6",A,6,FE,"Find all functions $ f: (0, \infty) \rightarrow (0, \infty)$ (so, $ f$ is a function from the positive real numbers to the positive real numbers) such that \[ \frac {\Big( f(w) \Big)^2 + \Big( f(x) \Big)^2}{f(y^2) + f(z^2) } = \frac {w^2 + x^2}{y^2 + z^2}\] for all positive real numbers \(w\), \(x\), \(y\), \(z\), satisfying $ wx = yz$.",,,,,,,,
1138,6 May 2022,Fri,Joe,"2020 EGMO, P5 of 6",G,6,,"Consider the triangle $ABC$ with $\angle BCA > 90^{\circ}$. The circumcircle $\Gamma$ of $ABC$ has radius $R$. There is a point $P$ in the interior of the line segment $AB$ such that $PB = PC$ and the length of $PA$ is $R$. The perpendicular bisector of $PB$ intersects $\Gamma$ at the points $D$ and $E$.

Prove $P$ is the incentre of triangle $CDE$.",,,,,,,,
1131,29 Apr 2022,Fri,Joe,"2012 BMO2, P3 of 4",A,6,,"The set of real numbers is split into two subsets that do not intersect. Prove that for each pair $(m,n)$ of positive integers, there are real numbers $x<y<z$ all in the same subset such that $m(z-y)=n(y-x)$.",,,,,,,,
1117,15 Apr 2022,Fri,Joe,"2012 IMO, P4 of 6",A,6,FE,"Find all functions $f:\mathbb Z\rightarrow \mathbb Z$ such that, for all integers $a,b,c$ that satisfy $a+b+c=0$, the following equality holds:
\[f(a)^2+f(b)^2+f(c)^2=2f(a)f(b)+2f(b)f(c)+2f(c)f(a).\]
(Here $\mathbb{Z}$ denotes the set of integers.)",,,,,,,,
1103,1 Apr 2022,Fri,Joe,"2022 AFMO, P1 of 4",C,6,,"Let $n$ be a positive integer. Suppose that we have $2n+1$ dons in Trinity College Great Court on a hot summer's day, each of whom are in possession of a water gun. Logically, each don will want to shoot someone. However, the dons have established a rule that, in any triple of dons, there must be an even number of dons who shoot. In order to make this process fair, each don will point at the don they want to shoot, and the dons decide who will shoot accordingly. Any don that is not shot in this process will leave the court. The process then repeats until, after $k$ rounds of shooting, there are fewer then three dons left and the process ends. Prove that $k+1$ is prime.",,,,,,,,
1102,31 Mar 2022,Thu,Phoenix,"2015 India TST, Day 1, P1 of 3",G,6,,"Let $ABCD$ be a convex quadrilateral and let the diagonals $AC$ and $BD$ intersect at $O$. Let $I_1, I_2, I_3, I_4$ be respectively the incentres of triangles $AOB, BOC, COD, DOA$. Let $J_1, J_2, J_3, J_4$ be respectively the excentres of triangles $AOB, BOC, COD, DOA$ opposite $O$. Show that $I_1, I_2, I_3, I_4$ lie on a circle if and only if $J_1, J_2, J_3, J_4$ lie on a circle.",,,,,,,,
1060,17 Feb 2022,Thu,Phoenix,2007 UkrMO 11.8,G,6,,"In acute-angled triangle $ABC$, $AA_1$ is the angle bisector, and $M$ is its midpoint. Point $P$ on segment $BM$ is such that $\angle APC = 90 ^\circ$ and point $Q$ on segment $CM$ is such that $\angle AQB = 90 ^\circ$. Prove that points $P , M , Q, A_1$ are concyclic.",,,,,,,,
1055,12 Feb 2022,Sat,Cyclic,"2021 China TST, Test 1, P4 of 6",A,6,PO,"Let $f(x), g(x)$ be two polynomials with integer coefficients. It is known that there are infinitely many primes $p$ for which there exists an integer $m_{p}$ such that
$$
f(a) \equiv g\left(a+m_{p}\right) \pmod p
$$
holds for all $a \in \mathbb{Z}$. Prove that there exists a rational number $r$ such that
$$
f(x)=g(x+r)
$$",,,,,,,,
